,time,smap_rz_mean,smap_rz_std,smap_su_mean,smap_su_std,smap_gpp_mean,smap_gpp_std,smap_nee_mean,smap_nee_std,insitu_rz_mean,insitu_rz_std,insitu_su_mean,insitu_su_std
0,2002-04-01,,,,,,,,,,,,
1,2002-04-02,,,,,,,,,,,,
2,2002-04-03,,,,,,,,,,,,
3,2002-04-04,,,,,,,,,,,,
4,2002-04-05,,,,,,,,,,,,
5,2002-04-06,,,,,,,,,,,,
6,2002-04-07,,,,,,,,,,,,
7,2002-04-08,,,,,,,,,,,,
8,2002-04-09,,,,,,,,,,,,
9,2002-04-10,,,,,,,,,,,,
10,2002-04-11,,,,,,,,,,,,
11,2002-04-12,,,,,,,,,,,,
12,2002-04-13,,,,,,,,,,,,
13,2002-04-14,,,,,,,,,,,,
14,2002-04-15,,,,,,,,,,,,
15,2002-04-16,,,,,,,,,,,,
16,2002-04-17,,,,,,,,,,,,
17,2002-04-18,,,,,,,,,,,,
18,2002-04-19,,,,,,,,,,,,
19,2002-04-20,,,,,,,,,,,,
20,2002-04-21,,,,,,,,,,,,
21,2002-04-22,,,,,,,,,,,,
22,2002-04-23,,,,,,,,,,,,
23,2002-04-24,,,,,,,,,,,,
24,2002-04-25,,,,,,,,,,,,
25,2002-04-26,,,,,,,,,,,,
26,2002-04-27,,,,,,,,,,,,
27,2002-04-28,,,,,,,,,,,,
28,2002-04-29,,,,,,,,,,,,
29,2002-04-30,,,,,,,,,,,,
30,2002-05-01,,,,,,,,,,,,
31,2002-05-02,,,,,,,,,,,,
32,2002-05-03,,,,,,,,,,,,
33,2002-05-04,,,,,,,,,,,,
34,2002-05-05,,,,,,,,,,,,
35,2002-05-06,,,,,,,,,,,,
36,2002-05-07,,,,,,,,,,,,
37,2002-05-08,,,,,,,,,,,,
38,2002-05-09,,,,,,,,,,,,
39,2002-05-10,,,,,,,,,,,,
40,2002-05-11,,,,,,,,,,,,
41,2002-05-12,,,,,,,,,,,,
42,2002-05-13,,,,,,,,,,,,
43,2002-05-14,,,,,,,,,,,,
44,2002-05-15,,,,,,,,,,,,
45,2002-05-16,,,,,,,,,,,,
46,2002-05-17,,,,,,,,,,,,
47,2002-05-18,,,,,,,,,,,,
48,2002-05-19,,,,,,,,,,,,
